Permno,Date,Price,Return
29890,20060905,68.6,0.008824
29890,20060906,66.93,-0.024344
29890,20060907,65.76,-0.017481
29890,20060908,65.82,0.000912
29890,20060911,64.89,-0.014129
29890,20060912,65.26,0.005702
29890,20060913,66.65,0.021299
29890,20060914,65.85,-0.012003
29890,20060915,64.86,-0.015034
29890,20060918,65.55,0.010638
29890,20060919,65.2,-0.00534
29890,20060920,65,-0.003067
29890,20060921,65.96,0.014769
29890,20060922,65.2,-0.011522
29890,20060925,65.06,-0.002147
29890,20060926,65.08,0.000307
29890,20060927,66.2,0.01721
29890,20060928,65.8,-0.006042
29890,20060929,65.58,-0.003343
29890,20061002,65.38,-0.00305
29890,20061003,63.72,-0.02539
29890,20061004,65.05,0.020873
29890,20061005,64.82,-0.003536
29890,20061006,64.69,-0.002006
29890,20061009,64.32,-0.00572
29890,20061010,64.53,0.003265
29890,20061011,63.86,-0.010383
29890,20061012,65.07,0.018948
29890,20061013,65.97,0.013831
29890,20061016,67.53,0.023647
29890,20061017,67.76,0.003406
29890,20061018,66.55,-0.017857
29890,20061019,68.08,0.02299
29890,20061020,67.8,-0.004113
29890,20061023,67.86,0.000885
29890,20061024,68.3,0.006484
29890,20061025,69.22,0.01347
29890,20061026,68.45,-0.011124
29890,20061027,68.06,-0.005698
29890,20061030,67.08,-0.014399
29890,20061031,67.1,0.000298
29890,20061101,67.2,0.00149
29890,20061102,67.25,0.000744
29890,20061103,67.35,0.001487
29890,20061106,68.31,0.014254
29890,20061107,68.12,-0.002781
29890,20061108,68.77,0.018196
29890,20061109,68.4,-0.00538
29890,20061110,68.44,0.000585
29890,20061113,67.13,-0.019141
29890,20061114,67.63,0.007448
29890,20061115,67.64,0.000148
29890,20061116,66.62,-0.01508
29890,20061117,66.38,-0.003603
29890,20061120,66.23,-0.00226
29890,20061121,67.01,0.011777
29890,20061122,66.61,-0.005969
29890,20061124,66.5,-0.001651
29890,20061127,66.42,-0.001203
29890,20061128,67.35,0.014002
29890,20061129,68.07,0.01069
29890,20061130,68.08,0.000147
29890,20061201,67.92,-0.00235
29890,20061204,67.56,-0.0053
29890,20061205,68.62,0.01569
29890,20061206,67.96,-0.009618
29890,20061207,68.17,0.00309
29890,20061208,68.5,0.004841
29890,20061211,68.3,-0.00292
29890,20061212,68.25,-0.000732
29890,20061213,68.59,0.004982
29890,20061214,68.06,-0.007727
29890,20061215,67.88,-0.002645
29890,20061218,66.75,-0.016647
29890,20061219,67.89,0.017079
29890,20061220,66.91,-0.014435
29890,20061221,66.91,0
29890,20061222,66.53,-0.005679
29890,20061226,66.68,0.002255
29890,20061227,67.33,0.009748
29890,20061228,67.2,-0.001931
29890,20061229,67.1,-0.001488
